Employee Name,Employee Age,Department,City ,Salary, Join Date
Grace,35,Finance,Guangzhou,44353.0,2024-09-01
David,40,Engineering,Hangzhou,22675.0,2024-08-07
Eve,40,Finance,Shenzhen,49417.0,2024-02-08
Grace,25,Finance,Hangzhou,28938.0,2024-01-11
Charlie,35,Engineering,Guangzhou,28664.0,2024-12-25
,,Engineering,Guangzhou,6636.0,2024-09-18
Eve,35,Engineering,,25080.0,2024-07-10
Eve,,Engineering,Shenzhen,32728.0,2024-03-07
Grace,25,HR,Shanghai,31736.0,2024-12-16
Bob,30,Sales,Shanghai,33673.0,2024-10-16
Charlie,40,Sales,Hangzhou,42505.0,2024-09-20
Grace,25,Engineering,,5854.0,2024-12-17
Charlie,40,Sales,Beijing,29548.0,2024-02-01
Charlie,30,Sales,Hangzhou,43623.0,2024-12-05
,30,Engineering,,12392.0,2024-05-27
Eve,25,Sales,Shenzhen,26556.0,2024-07-09
David,30,Finance,Shenzhen,43559.0,2024-09-03
,,Marketing,Shenzhen,31309.0,2024-03-16
,30,Marketing,Shenzhen,26919.0,2024-03-20
Charlie,40,Engineering,Shenzhen,9931.0,2024-08-22
Frank,40,HR,,37970.0,2024-08-01
Eve,40,Engineering,,49215.0,2024-08-20
Bob,40,HR,Guangzhou,17688.0,2024-11-17
,,Marketing,Shanghai,30342.0,2024-08-04
David,35,Engineering,Shenzhen,42157.0,2024-06-08
Frank,25,Finance,Beijing,7327.0,2024-04-03
Frank,40,Sales,,45772.0,2024-09-03
Bob,30,HR,Beijing,45545.0,2024-09-18
,40,Sales,Beijing,5197.0,2024-02-02
David,30,Sales,Beijing,28509.0,2024-06-03
Eve,30,Engineering,Guangzhou,39698.0,2024-09-04
Alice,40,Sales,,49542.0,2024-01-04
David,,Finance,Beijing,20087.0,2024-01-14
Bob,30,Sales,Shenzhen,27671.0,2024-05-16
Frank,30,Engineering,Hangzhou,30184.0,2024-04-24
Eve,40,Finance,Beijing,32848.0,2024-08-07
David,30,Marketing,Guangzhou,47107.0,2024-03-17
Alice,30,Sales,,25666.0,2024-01-16
Alice,40,Engineering,Guangzhou,49357.0,2024-12-27
Charlie,40,Marketing,Beijing,20708.0,2024-03-22
Charlie,25,Marketing,,31370.0,2024-07-22
Grace,,HR,Hangzhou,7811.0,2024-06-06
Bob,,Finance,Beijing,11546.0,2024-03-22
,30,Sales,Guangzhou,39754.0,2024-08-27
David,,Engineering,Shanghai,35206.0,2024-11-02
David,30,HR,Shenzhen,46106.0,2024-05-01
,25,Finance,Guangzhou,16411.0,2024-12-15
Grace,40,HR,,7911.0,2024-01-05
Frank,40,Finance,Beijing,6734.0,2024-12-16
Frank,40,Finance,Shenzhen,23227.0,2024-03-04
Eve,40,Finance,Beijing,32848.0,2024-08-07
Grace,25,Engineering,,5854.0,2024-12-17
Charlie,35,Engineering,Guangzhou,28664.0,2024-12-25
Grace,25,Finance,Hangzhou,28938.0,2024-01-11
Bob,30,Sales,Shenzhen,27671.0,2024-05-16
